Z,Y,X,Red,Green,Blue,Size
0,64,192,147,144,135,1
0,64,193,112,100,93,1
0,64,194,84,80,77,1
0,64,195,63,59,59,1
0,64,196,56,68,92,1
0,64,197,114,127,136,1
0,64,198,151,147,150,1
0,64,199,140,111,87,1
0,64,200,79,76,59,1
0,64,201,53,53,54,1
0,64,312,49,59,86,1
0,64,313,123,151,157,1
0,64,314,156,137,129,1
0,64,315,119,110,120,1
0,64,316,120,123,120,1
0,64,317,126,138,145,1
0,64,318,159,166,165,1
0,64,319,177,160,161,1
0,64,320,171,153,124,1
0,64,321,100,95,90,1
0,64,322,89,85,70,1
0,64,323,53,52,50,1
0,64,324,48,62,89,1
0,64,325,110,127,134,1
0,64,326,133,133,132,1
0,64,327,119,98,75,1
0,64,328,70,71,59,1
0,64,329,54,49,51,1
0,65,56,50,58,81,1
0,65,57,110,137,148,1
0,65,58,149,129,131,1
0,65,59,122,109,122,1
0,65,60,127,125,119,1
0,65,61,128,133,132,1
0,65,62,135,149,166,1
0,65,63,174,178,183,1
0,65,64,171,145,119,1
0,65,65,101,90,84,1
0,65,66,79,76,59,1
0,65,67,47,51,44,1
0,65,68,43,53,75,1
0,65,69,95,114,124,1
0,65,70,119,120,104,1
0,65,71,90,82,70,1
0,65,72,76,77,61,1
0,65,73,54,47,43,1
0,65,184,50,61,79,1
0,65,185,106,139,137,1
0,65,186,136,128,124,1
0,65,187,131,119,124,1
0,65,188,136,139,136,1
0,65,189,141,133,125,1
0,65,190,128,133,144,1
0,65,191,156,164,158,1
0,65,192,141,129,127,1
0,65,193,115,93,81,1
0,65,194,73,69,53,1
0,65,196,38,42,55,1
0,65,197,70,82,85,1
0,65,198,94,100,88,1
0,65,199,81,82,67,1
0,65,200,62,57,49,1
0,65,312,49,63,77,1
0,65,313,102,128,124,1
0,65,314,131,125,122,1
0,65,315,124,123,125,1
0,65,316,132,141,138,1
0,65,317,141,136,126,1
0,65,318,129,132,144,1
0,65,319,146,149,145,1
0,65,320,132,129,133,1
0,65,321,118,94,79,1
0,65,322,74,67,53,1
0,65,325,61,62,58,1
0,65,326,65,75,77,1
0,65,327,75,70,57,1
0,66,56,48,54,65,1
0,66,57,90,116,122,1
0,66,58,126,122,117,1
0,66,59,117,117,117,1
0,66,60,128,138,124,1
0,66,61,126,132,130,1
0,66,62,130,141,147,1
0,66,63,141,139,141,1
0,66,64,126,121,133,1
0,66,65,109,86,75,1
0,66,66,66,55,48,1
0,66,69,56,55,54,1
0,66,70,56,62,62,1
0,66,71,59,49,45,1
0,66,184,46,46,59,1
0,66,185,83,107,118,1
0,66,186,133,133,120,1
0,66,187,117,118,125,1
0,66,188,134,132,127,1
0,66,189,135,138,137,1
0,66,190,133,144,143,1
0,66,191,145,150,153,1
0,66,192,136,135,134,1
0,66,193,111,85,71,1
0,66,194,64,49,34,1
0,66,197,49,52,48,1
0,66,198,48,51,50,1
0,66,312,33,40,55,1
0,66,313,78,101,112,1
0,66,314,128,138,140,1
0,66,315,127,123,138,1
0,66,316,141,138,147,1
0,66,317,157,146,151,1
0,66,318,140,148,163,1
0,66,319,165,171,161,1
0,66,320,147,140,122,1
0,66,321,105,86,69,1
0,66,322,56,46,33,1
0,67,57,68,88,109,1
0,67,58,114,130,142,1
0,67,59,126,127,148,1
0,67,60,147,148,156,1
0,67,61,158,144,151,1
0,67,62,145,147,175,1
0,67,63,180,173,166,1
0,67,64,142,124,107,1
0,67,65,90,80,68,1
0,67,66,52,40,32,1
0,67,184,33,41,51,1
0,67,185,61,79,102,1
0,67,186,103,120,136,1
0,67,187,129,127,142,1
0,67,188,135,143,157,1
0,67,189,150,144,152,1
0,67,190,149,149,171,1
0,67,191,172,158,154,1
0,67,192,131,115,106,1
0,67,193,91,76,64,1
0,67,313,61,82,100,1
0,67,314,106,113,130,1
0,67,315,131,126,135,1
0,67,316,132,148,158,1
0,67,317,163,164,148,1
0,67,318,150,147,146,1
0,67,319,147,145,138,1
0,67,320,134,124,104,1
0,67,321,92,74,58,1
